swing_width,type,pivot_date,pivot_session,z_score,vol_bucket,confluence_count,confluence_bucket,retest_date,retest_session,break_win1_mean,break_win1_mean_bucket,break_win1_max,break_win1_max_bucket,break_win2_mean,break_win2_mean_bucket,break_win2_max,break_win2_max_bucket,break_win3_mean,break_win3_mean_bucket,break_win3_max,break_win3_max_bucket,break_win4_mean,break_win4_mean_bucket,break_win4_max,break_win4_max_bucket,break_win6_mean,break_win6_mean_bucket,break_win6_max,break_win6_max_bucket,rxn_3,rxn_6,rxn_12,rxn_24
5,HIGH,2026-08-05,RTH,-1.3254,NORMAL_LOW,0,0,2026-08-05,RTH,0.2815,HIGH,0.2815,HIGH,-0.5634,NORMAL_LOW,0.2815,NORMAL_LOW,-0.8727,NORMAL_LOW,0.2815,NORMAL_LOW,-0.9375,NORMAL_LOW,0.2815,NORMAL_LOW,-1.1256,NORMAL_LOW,0.2815,NORMAL_LOW,147.2500,137.2500,114.0000,82.0000
5,LOW,2026-05-21,GLOBEX,-1.3252,NORMAL_LOW,1,1,2026-05-22,GLOBEX,-1.6597,NORMAL_LOW,-1.6597,NORMAL_LOW,-1.2751,NORMAL_LOW,-0.8905,NORMAL_LOW,-1.1454,NORMAL_LOW,-0.8859,NORMAL_LOW,-1.0637,NORMAL_LOW,-0.8186,NORMAL_LOW,-0.7442,NORMAL_LOW,0.1917,NORMAL_LOW,13.7500,27.7500,-6.5000,13.7500
5,HIGH,2026-06-16,GLOBEX,-1.3243,NORMAL_LOW,0,0,2026-06-17,RTH,-0.5986,NORMAL_LOW,-0.5986,NORMAL_LOW,-0.8309,NORMAL_LOW,-0.5986,NORMAL_LOW,-0.6429,NORMAL_LOW,-0.2669,NORMAL_LOW,-0.6990,NORMAL_LOW,-0.2669,NORMAL_LOW,-0.8565,NORMAL_LOW,-0.2669,NORMAL_LOW,92.5000,-130.0000,104.2500,233.7500
5,HIGH,2025-10-16,RTH,-1.3241,NORMAL_LOW,0,0,2025-10-16,GLOBEX,-1.4438,NORMAL_LOW,-1.4438,NORMAL_LOW,-1.6811,NORMAL_LOW,-1.4438,NORMAL_LOW,-1.6786,NORMAL_LOW,-1.4438,NORMAL_LOW,-1.7766,NORMAL_LOW,-1.4438,NORMAL_LOW,-1.6052,NORMAL_LOW,-0.9562,NORMAL_LOW,-8.2500,31.0000,31.7500,121.0000
5,LOW,2026-08-11,GLOBEX,-1.3240,NORMAL_LOW,3,2+,2026-08-11,RTH,-0.4809,NORMAL_LOW,-0.4809,NORMAL_LOW,-0.6151,NORMAL_LOW,-0.4809,NORMAL_LOW,-0.5860,NORMAL_LOW,-0.4809,NORMAL_LOW,-0.6554,NORMAL_LOW,-0.4809,NORMAL_LOW,-0.6880,NORMAL_LOW,-0.2434,NORMAL_LOW,-76.7500,19.2500,35.2500,-63.2500
5,HIGH,2024-12-17,GLOBEX,-1.3233,NORMAL_LOW,1,1,2024-12-17,GLOBEX,-2.9667,NORMAL_LOW,-2.9667,NORMAL_LOW,1.5224,HIGH,6.0114,HIGH,1.0888,HIGH,6.0114,HIGH,0.5207,HIGH,6.0114,HIGH,-0.1473,NORMAL_LOW,6.0114,HIGH,-6.2500,-22.0000,-28.2500,-18.5000
5,LOW,2025-08-26,GLOBEX,-1.3224,NORMAL_LOW,1,1,2025-08-27,RTH,-1.4242,NORMAL_LOW,-1.4242,NORMAL_LOW,-1.1604,NORMAL_LOW,-0.8966,NORMAL_LOW,-1.1763,NORMAL_LOW,-0.8966,NORMAL_LOW,-1.1371,NORMAL_LOW,-0.8966,NORMAL_LOW,-1.1388,NORMAL_LOW,-0.8966,NORMAL_LOW,-19.5000,-43.2500,-9.2500,-113.2500
5,LOW,2025-10-17,RTH,-1.3219,NORMAL_LOW,1,1,2025-10-22,RTH,-1.8066,NORMAL_LOW,-1.8066,NORMAL_LOW,-1.8946,NORMAL_LOW,-1.8066,NORMAL_LOW,-1.6849,NORMAL_LOW,-1.2655,NORMAL_LOW,-1.6724,NORMAL_LOW,-1.2655,NORMAL_LOW,-1.6099,NORMAL_LOW,-1.2655,NORMAL_LOW,5.0000,-48.7500,-145.0000,-12.7500
5,LOW,2024-02-15,GLOBEX,-1.3211,NORMAL_LOW,0,0,2024-02-15,GLOBEX,-0.6476,NORMAL_LOW,-0.6476,NORMAL_LOW,-0.9730,NORMAL_LOW,-0.6476,NORMAL_LOW,-0.9467,NORMAL_LOW,-0.6476,NORMAL_LOW,-0.9710,NORMAL_LOW,-0.6476,NORMAL_LOW,-1.1559,NORMAL_LOW,-0.6476,NORMAL_LOW,-6.2500,0.7500,-3.5000,7.2500
5,HIGH,2025-10-13,GLOBEX,-1.3210,NORMAL_LOW,0,0,2025-10-13,RTH,-2.5009,NORMAL_LOW,-2.5009,NORMAL_LOW,-2.3518,NORMAL_LOW,-2.2026,NORMAL_LOW,-2.0550,NORMAL_LOW,-1.4616,NORMAL_LOW,-2.1233,NORMAL_LOW,-1.4616,NORMAL_LOW,-2.1268,NORMAL_LOW,-1.4616,NORMAL_LOW,-39.0000,57.0000,65.0000,-32.5000
5,LOW,2026-04-06,RTH,-1.3210,NORMAL_LOW,1,1,2026-04-06,RTH,-1.8275,NORMAL_LOW,-1.8275,NORMAL_LOW,-1.8462,NORMAL_LOW,-1.8275,NORMAL_LOW,-1.7904,NORMAL_LOW,-1.6788,NORMAL_LOW,-1.9170,NORMAL_LOW,-1.6788,NORMAL_LOW,-1.9290,NORMAL_LOW,-1.6788,NORMAL_LOW,-28.5000,30.7500,-30.2500,74.0000
5,HIGH,2025-08-29,GLOBEX,-1.3199,NORMAL_LOW,0,0,2025-09-04,GLOBEX,-1.8833,NORMAL_LOW,-1.8833,NORMAL_LOW,-1.7337,NORMAL_LOW,-1.5842,NORMAL_LOW,-1.6641,NORMAL_LOW,-1.5247,NORMAL_LOW,-1.7345,NORMAL_LOW,-1.5247,NORMAL_LOW,-1.6861,NORMAL_LOW,-1.3703,NORMAL_LOW,-8.0000,-6.0000,-28.0000,-29.5000
5,HIGH,2025-10-30,RTH,-1.3191,NORMAL_LOW,1,1,2025-10-30,GLOBEX,-1.6522,NORMAL_LOW,-1.6522,NORMAL_LOW,-1.6059,NORMAL_LOW,-1.5597,NORMAL_LOW,-1.5719,NORMAL_LOW,-1.5037,NORMAL_LOW,-1.4354,NORMAL_LOW,-1.0260,NORMAL_LOW,-1.4672,NORMAL_LOW,-1.0260,NORMAL_LOW,-37.2500,-31.7500,-1.2500,-71.2500
5,HIGH,2026-07-13,RTH,-1.3191,NORMAL_LOW,1,1,2026-07-13,RTH,-0.9974,NORMAL_LOW,-0.9974,NORMAL_LOW,-0.9848,NORMAL_LOW,-0.9721,NORMAL_LOW,-1.0091,NORMAL_LOW,-0.9721,NORMAL_LOW,-1.1502,NORMAL_LOW,-0.9721,NORMAL_LOW,-1.2256,NORMAL_LOW,-0.9721,NORMAL_LOW,14.5000,35.0000,33.5000,55.0000
