levelName,direction,setupType,calSource,delayMin,N,targetPct,stopPct,nonePct,avgExtraMfe,distinctDates
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",100,138,44.93,50.72,4.35,123.48,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",105,138,42.03,53.62,4.35,110.59,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",110,138,36.23,57.25,6.52,119.92,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",115,138,34.78,58.70,6.52,114.86,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",120,138,31.88,60.14,7.97,104.09,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",125,138,33.33,57.97,8.70,107.24,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",130,138,40.58,51.45,7.97,132.32,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",135,138,34.78,57.97,7.25,120.77,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",140,138,44.20,45.65,10.14,112.14,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",145,138,40.58,50.00,9.42,106.65,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",150,138,39.13,51.45,9.42,88.79,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",155,138,39.13,50.72,10.14,118.13,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",160,138,36.96,53.62,9.42,105.74,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",165,138,43.48,43.48,13.04,116.93,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",170,138,40.58,48.55,10.87,98.50,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",175,138,39.13,48.55,12.32,105.46,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",180,137,36.50,52.55,10.95,88.81,137
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",185,137,36.50,52.55,10.95,92.44,137
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",190,137,36.50,51.82,11.68,92.44,137
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",195,137,32.85,53.28,13.87,84.68,137
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",200,137,36.50,49.64,13.87,74.64,137
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",205,137,35.77,49.64,14.60,75.38,137
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",210,137,34.31,51.82,13.87,71.24,137
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",215,137,39.42,45.26,15.33,70.51,137
