entryTime,direction,entryPrice,stopPrice,pivotPrice,streak,numTouches,fwd30,fwd60,fwd120,fwd240
2026-08-02 21:55:00,LONG,28644,28589.2585,28611.75,16,17,14.00,10.75,37.75,-13.00
2026-08-02 22:20:00,LONG,28662,28610.5085,28640.75,5,6,-11.75,7.00,14.25,-24.00
2026-08-05 09:45:00,LONG,30055.5,29900.32775,29990,1,2,-42.50,-210.25,-251.25,-308.25
2026-08-09 19:10:00,LONG,29862.75,29804.57775,29839.75,8,9,-9.00,35.75,-32.25,12.25
2026-08-07 08:40:00,LONG,29801.75,29608.57775,29679.5,4,5,-36.25,-65.00,-101.25,-51.50
2026-08-07 05:05:00,LONG,29634.75,29589.32775,29621,9,10,7.25,-10.00,-0.25,159.75
2026-08-20 08:10:00,SHORT,29272,29434.9375,29364.75,1,2,-5.75,-71.75,-123.75,-54.00
2026-08-24 01:55:00,SHORT,29200.75,29276.4375,29241.25,4,5,29.50,27.00,57.25,-33.00
2026-08-07 08:35:00,LONG,29797.5,29608.5625,29667,7,8,-3.00,-9.50,-91.50,-69.00
2026-08-19 10:20:00,SHORT,29415.5,29524.1875,29448.5,5,6,-128.25,-203.75,-241.75,-97.50
2026-08-19 10:20:00,SHORT,29415.5,29514.2535,29453.5,7,8,-128.25,-203.75,-241.75,-97.50
2026-08-09 21:55:00,LONG,29885,29835.9965,29867.75,9,10,-22.75,7.00,-13.75,42.75
2026-08-18 11:15:00,SHORT,29536,29630.0035,29564.5,4,5,-77.50,-100.00,-79.50,-36.50
2026-08-09 21:45:00,LONG,29889.25,29813.2465,29855.25,7,8,-27.25,0.25,6.75,17.25
2026-08-11 12:25:00,SHORT,29645.75,29691.7535,29668.75,5,6,9.00,40.75,60.25,-20.75
2026-08-13 09:50:00,LONG,30146,29930.1035,29984,3,4,47.50,65.00,-11.00,73.50
2026-08-12 08:40:00,LONG,29917.25,29740.5315,29861.75,6,7,13.00,-47.25,4.00,-27.00
2026-08-11 11:30:00,SHORT,29674.25,29786.9685,29717.75,3,4,3.25,25.00,71.75,42.25
2026-08-18 20:10:00,SHORT,29460.25,29562.4685,29533.5,4,5,-111.75,-135.00,-82.50,-55.50
2026-08-13 09:50:00,LONG,30146,29930.30075,29960,2,3,47.50,65.00,-11.00,73.50
2026-08-17 02:10:00,LONG,30287.5,30227.948,30267.5,11,12,35.25,8.75,34.25,-5.25
2026-08-17 02:10:00,LONG,30287.5,30251.948,30272.75,7,8,35.25,8.75,34.25,-5.25
2026-08-14 11:15:00,SHORT,30104.25,30159.552,30124.25,2,3,40.25,20.00,34.00,17.75
2026-08-17 02:35:00,LONG,30322,30257.49225,30283,2,3,-10.50,-21.50,-8.00,-22.25
2026-08-19 10:20:00,SHORT,29415.5,29512.914,29442,2,3,-128.25,-203.75,-241.75,-97.50
2026-08-19 08:50:00,LONG,29743.5,29569.38075,29640.75,1,2,-19.75,-271.75,-199.75,-163.00
2026-08-27 22:05:00,LONG,29694,29635.38075,29667.25,25,26,-21.50,-9.00,-44.25,-90.00
2026-08-28 10:55:00,LONG,29796.5,29665.88075,29689.75,11,12,-12.25,-212.00,-282.75,-344.50
2026-08-24 01:55:00,SHORT,29200.75,29275.234,29240,3,4,29.50,27.00,57.25,-33.00
2026-08-26 18:15:00,LONG,29584,29490.699,29539,1,2,29.25,7.25,-5.25,-44.75
2026-08-26 20:55:00,SHORT,29445.75,29530.051,29488.75,1,2,-46.50,-101.50,-105.00,-50.25
2026-08-27 02:05:00,SHORT,29406,29473.4015,29449,5,6,-62.50,-112.25,-170.25,-192.00
2026-08-25 02:10:00,LONG,29248,29192.5985,29224.75,5,6,3.75,14.00,-21.00,149.75
2026-09-02 05:15:00,SHORT,28990.75,29045.6515,29017,3,4,37.75,9.00,-21.75,-77.75
2026-08-26 18:10:00,LONG,29566,29378.229,29409.5,1,2,41.50,34.75,38.00,-29.00
2026-08-26 15:00:00,LONG,29366.25,29286.729,29309.75,5,6,-33.75,-62.75,178.75,271.00
2026-08-26 15:05:00,LONG,29347.5,29286.729,29313.5,4,5,-6.25,14.50,214.75,277.00
2026-09-01 14:40:00,SHORT,29014.5,29123.771,29096,5,6,-93.25,-100.25,-121.25,-122.00
2026-08-26 14:40:00,LONG,29295,29256.92875,29283.25,9,10,53.50,30.25,57.50,311.75
2026-08-27 13:10:00,LONG,29669.75,29629.17875,29654.75,3,4,-30.75,-90.75,-75.75,-54.75
2026-08-30 19:20:00,SHORT,29380.25,29457.07125,29432.5,7,8,52.50,12.50,55.25,32.25
2026-08-27 22:00:00,LONG,29689.75,29634.74925,29662,9,10,-5.75,-24.75,-23.50,-93.25
2026-08-28 12:30:00,SHORT,29476.75,29578.00075,29532,4,5,20.00,1.75,-5.00,-14.50
2026-08-27 22:10:00,LONG,29692.75,29651.74925,29678.5,3,4,-30.50,-5.50,-43.00,-78.75
2026-08-28 10:50:00,LONG,29769.5,29663.74925,29708,6,7,-0.75,-146.00,-246.00,-322.50
2026-08-30 19:20:00,SHORT,29380.25,29456.297,29436.25,2,3,52.50,12.50,55.25,32.25
2026-09-01 02:00:00,LONG,29541.5,29508.703,29529.25,8,9,-18.25,-18.25,-116.00,-320.75
2026-09-03 14:10:00,LONG,29573.5,29518.22375,29546.25,8,9,-5.00,-22.25,-54.00,-64.50
2026-09-03 14:00:00,LONG,29574.5,29504.97375,29535,11,12,-1.50,-18.25,-66.50,-68.50
2026-09-01 04:20:00,SHORT,29306,29455.77625,29377.5,7,8,54.50,111.00,82.75,159.50
2026-09-01 01:50:00,LONG,29542.25,29485.22375,29516.75,14,15,2.75,-13.25,-68.75,-323.75
2026-09-03 14:10:00,LONG,29573.5,29518.22375,29538.25,13,14,-5.00,-22.25,-54.00,-64.50
2026-09-04 00:30:00,LONG,29600.25,29550.94125,29571.25,6,7,-4.00,18.25,29.00,71.00
2026-09-02 04:55:00,SHORT,28977.75,29061.30875,29040.25,11,12,11.75,16.75,5.00,-62.00
2026-09-02 23:35:00,LONG,29227.5,29196.37375,29213,5,6,6.75,3.00,-98.50,-24.50
2026-09-03 07:55:00,SHORT,29105.5,29157.37625,29132.75,6,7,-27.75,-149.50,-223.75,-422.25
2026-09-03 09:45:00,LONG,29359.75,29193.90925,29255,5,6,-44.50,-61.50,154.75,170.50
