zoneId,entryTime,direction,entryPrice,stopPrice,streak,mfeAtr,p50_pnl,p50_win
224,2025-12-19 09:55:00,LONG,25560.25,25420.25175,1,1.025,132.94,true
246,2025-12-19 09:55:00,LONG,25560.25,25420.9785,3,1.025,132.94,true
324,2025-12-19 09:55:00,LONG,25560.25,25419.41925,12,1.025,132.94,true
132,2025-12-19 10:05:00,LONG,25554.25,25423.113,0,1.043,132.94,true
166,2025-12-19 10:05:00,LONG,25554.25,25421.3215,0,1.043,132.94,true
169,2025-12-19 10:05:00,LONG,25554.25,25420.943,0,1.043,132.94,true
132,2025-12-19 10:30:00,SHORT,25522.75,25563.637,0,0.194,-83.77,false
166,2025-12-19 10:30:00,SHORT,25522.75,25565.4285,0,0.194,-87.36,false
127,2025-12-19 10:55:00,SHORT,25483,25549.1945,1,0.071,-134.39,false
131,2025-12-19 10:55:00,SHORT,25483,25549.40375,1,0.071,-134.81,false
138,2025-12-19 10:55:00,SHORT,25483,25549.33575,2,0.071,-134.67,false
165,2025-12-19 10:55:00,SHORT,25483,25551.1785,1,0.071,-138.36,false
169,2025-12-19 10:55:00,SHORT,25483,25551.557,2,0.071,-139.11,false
127,2025-12-19 11:15:00,LONG,25541.25,25456.0555,0,1.103,132.94,true
131,2025-12-19 11:15:00,LONG,25541.25,25455.84625,0,1.103,132.94,true
138,2025-12-19 11:15:00,LONG,25541.25,25455.91425,0,1.103,132.94,true
165,2025-12-19 11:25:00,LONG,25540.75,25491.5715,0,1.135,132.94,true
169,2025-12-19 11:35:00,LONG,25546.25,25491.193,0,1.118,132.94,true
169,2025-12-19 11:55:00,SHORT,25505.25,25571.307,0,0.010,-134.11,false
132,2025-12-19 12:15:00,LONG,25567.75,25497.863,4,1.077,132.94,true
169,2025-12-19 12:15:00,LONG,25567.75,25495.693,0,1.077,132.94,true
166,2025-12-19 12:20:00,LONG,25576.75,25496.0715,4,1.050,132.94,true
300,2025-12-19 12:55:00,LONG,25578.25,25528.7,7,1.045,132.94,true
140,2025-12-19 13:00:00,LONG,25584,25553.41425,3,0.025,-63.17,false
140,2025-12-19 13:40:00,SHORT,25554.5,25592.58575,0,0.029,-78.17,false
140,2025-12-19 14:30:00,LONG,25580.5,25559.91425,1,0.028,-43.17,false
292,2025-12-19 16:35:00,LONG,25585.75,25543.85825,9,1.022,132.94,true
310,2025-12-21 18:05:00,LONG,25643.75,25544.50025,11,0.902,124.06,true
293,2025-12-21 18:10:00,LONG,25638.75,25576.60825,6,0.918,124.06,true
315,2025-12-21 18:35:00,LONG,25662.75,25624.4965,0,0.437,124.06,true
295,2025-12-21 18:45:00,LONG,25667,25623.85825,2,0.422,124.06,true
305,2025-12-21 18:45:00,LONG,25667,25631.082,4,0.422,124.06,true
296,2025-12-21 20:15:00,LONG,25681,25645.35825,9,0.376,124.06,true
325,2025-12-21 20:15:00,LONG,25681,25645.91925,6,0.376,124.06,true
321,2025-12-21 20:40:00,LONG,25690,25645.928,4,0.346,124.06,true
321,2025-12-22 00:15:00,SHORT,25665.75,25700.572,3,0.012,-71.64,false
321,2025-12-22 01:55:00,LONG,25690,25654.428,0,0.346,124.06,true
291,2025-12-22 04:25:00,LONG,25711,25674.86075,12,0.277,124.06,true
289,2025-12-22 07:35:00,LONG,25735.75,25687.84225,6,0.195,-97.82,false
306,2025-12-22 08:10:00,LONG,25741.75,25708.582,2,0.175,-68.34,false
302,2025-12-22 09:10:00,LONG,25760.5,25729.85475,3,0.113,-63.29,false
303,2025-12-22 09:25:00,LONG,25780.5,25729.85475,1,0.047,-103.29,false
302,2025-12-22 09:45:00,SHORT,25718.5,25802.89525,0,0.365,124.06,true
303,2025-12-22 09:45:00,SHORT,25718.5,25802.89525,0,0.365,124.06,true
306,2025-12-22 09:45:00,SHORT,25718.5,25802.668,2,0.365,124.06,true
289,2025-12-22 10:15:00,SHORT,25698.25,25763.15775,2,0.298,124.06,true
291,2025-12-22 10:35:00,SHORT,25648.75,25723.38925,5,0.021,-151.28,false
291,2025-12-22 11:20:00,LONG,25712.75,25668.86075,1,0.086,-89.78,false
291,2025-12-22 13:25:00,SHORT,25688.5,25721.13925,4,0.041,-67.28,false
291,2025-12-22 18:25:00,LONG,25714.25,25679.61075,5,0.085,-71.28,false
289,2025-12-22 21:15:00,LONG,25736,25686.59225,10,0.000,-100.82,false
289,2025-12-22 23:35:00,SHORT,25687.75,25734.90775,2,0.277,117.60,true
291,2025-12-22 23:45:00,SHORT,25690.5,25719.63925,4,0.130,-60.28,false
321,2025-12-23 01:10:00,SHORT,25673,25704.822,17,0.069,-65.64,false
321,2025-12-23 03:20:00,LONG,25703.5,25658.428,2,0.087,-92.14,false
291,2025-12-23 04:25:00,LONG,25716.75,25677.86075,3,0.041,-79.78,false
291,2025-12-23 07:10:00,SHORT,25680.75,25722.38925,0,0.253,117.60,true
321,2025-12-23 07:30:00,SHORT,25672.5,25709.822,3,0.224,117.60,true
296,2025-12-23 08:45:00,SHORT,25635.25,25695.39175,16,0.091,-122.28,false
305,2025-12-23 08:45:00,SHORT,25635.25,25686.918,11,0.091,-105.34,false
325,2025-12-23 08:45:00,SHORT,25635.25,25694.83075,17,0.091,-121.16,false
295,2025-12-23 08:55:00,SHORT,25619.75,25678.64175,7,0.037,-119.78,false
315,2025-12-23 09:15:00,SHORT,25627,25678.0035,1,0.010,-104.01,false
315,2025-12-23 09:35:00,LONG,25715.25,25616.4965,0,0.767,117.60,true
295,2025-12-23 09:40:00,LONG,25730.25,25615.85825,0,0.715,117.60,true
305,2025-12-23 09:40:00,LONG,25730.25,25619.582,0,0.715,117.60,true
291,2025-12-23 09:45:00,LONG,25733.75,25629.61075,0,0.031,-210.28,false
296,2025-12-23 09:45:00,LONG,25733.75,25629.60825,0,0.031,-210.28,false
321,2025-12-23 09:45:00,LONG,25733.75,25630.178,4,0.031,-209.14,false
325,2025-12-23 09:45:00,LONG,25733.75,25630.16925,0,0.031,-209.16,false
291,2025-12-23 10:10:00,SHORT,25649,25751.13925,0,0.004,-206.28,false
296,2025-12-23 10:10:00,SHORT,25649,25716.14175,0,0.004,-136.28,false
321,2025-12-23 10:10:00,SHORT,25649,25715.572,0,0.004,-135.14,false
325,2025-12-23 10:10:00,SHORT,25649,25715.58075,0,0.004,-135.16,false
296,2025-12-23 10:40:00,LONG,25712.75,25639.35825,0,0.776,117.60,true
325,2025-12-23 10:40:00,LONG,25712.75,25639.91925,0,0.776,117.60,true
321,2025-12-23 10:45:00,LONG,25712.75,25663.928,1,0.776,117.60,true
291,2025-12-23 10:50:00,LONG,25725,25663.36075,0,0.733,117.60,true
289,2025-12-23 11:00:00,LONG,25739.25,25693.84225,8,0.683,117.60,true
306,2025-12-23 11:25:00,LONG,25743.75,25698.832,13,0.667,117.60,true
302,2025-12-23 12:00:00,LONG,25771.5,25722.60475,4,0.571,117.60,true
303,2025-12-23 12:00:00,LONG,25771.5,25729.85475,3,0.571,117.60,true
286,2025-12-23 14:20:00,LONG,25786,25743.95975,4,0.520,117.60,true
311,2025-12-23 14:55:00,LONG,25797.25,25761.75025,8,0.481,117.60,true
316,2025-12-23 15:55:00,LONG,25811.25,25776.7465,4,0.432,117.60,true
338,2025-12-23 21:30:00,SHORT,25794.75,25824.897,6,0.064,-62.29,false
316,2025-12-23 23:55:00,SHORT,25780.5,25813.0035,4,0.011,-67.01,false
316,2025-12-24 07:25:00,LONG,25806,25777.7465,2,0.479,110.49,true
338,2025-12-24 08:45:00,LONG,25821.5,25796.103,3,0.038,-52.79,false
338,2025-12-24 09:50:00,SHORT,25804.25,25827.647,2,0.016,-48.79,false
338,2025-12-24 10:15:00,LONG,25831.75,25794.603,0,0.384,110.49,true
