date,session,swing_width,type,target_type,entry,stop,target,hit_target,hit_stop,time_exit,pnl_pts,pnl_usd
2026-06-18,GLOBEX,5,LONG,P50,30468.75,30440.25,30527.21,0,1,0,-28.50,-59.00
2026-06-22,GLOBEX,3,LONG,P50,30663.25,30629.00,30720.48,1,0,0,57.23,112.46
2026-06-22,GLOBEX,5,LONG,P50,30663.25,30629.00,30720.48,1,0,0,57.23,112.46
2026-06-22,GLOBEX,3,LONG,P50,30735.25,30704.75,30792.48,0,1,0,-30.50,-63.00
2026-06-22,GLOBEX,5,LONG,P50,30762.25,30754.50,30819.48,0,1,0,-7.75,-17.50
2026-06-25,GLOBEX,3,LONG,P50,30176.00,30149.25,30238.19,0,1,0,-26.75,-55.50
2026-06-25,GLOBEX,5,LONG,P50,30176.00,30149.25,30238.19,0,1,0,-26.75,-55.50
2026-06-25,GLOBEX,3,SHORT,P50,29834.50,29922.50,29772.31,1,0,0,62.19,122.37
2026-06-25,GLOBEX,5,SHORT,P50,29834.50,29922.50,29772.31,1,0,0,62.19,122.37
2026-07-02,GLOBEX,3,SHORT,P50,30099.00,30141.75,30029.01,0,1,0,-42.75,-87.50
2026-07-02,GLOBEX,3,SHORT,P50,29952.75,29997.25,29882.76,0,1,0,-44.50,-91.00
2026-07-06,GLOBEX,3,LONG,P50,29818.25,29778.00,29885.21,0,1,0,-40.25,-82.50
2026-07-06,GLOBEX,5,LONG,P50,29818.25,29778.00,29885.21,0,1,0,-40.25,-82.50
2026-07-08,GLOBEX,3,SHORT,P50,28980.25,29290.00,28920.22,1,0,0,60.03,118.07
2026-07-08,RTH,3,SHORT,P50,28980.25,29290.00,28920.22,1,0,0,60.03,118.07
2026-07-08,GLOBEX,5,SHORT,P50,28980.25,29290.00,28920.22,1,0,0,60.03,118.07
2026-07-08,RTH,5,SHORT,P50,28980.25,29290.00,28920.22,1,0,0,60.03,118.07
2026-07-13,RTH,3,SHORT,P50,29651.50,29677.75,29597.09,0,1,0,-26.25,-54.50
2026-07-13,RTH,5,SHORT,P50,29651.50,29677.75,29597.09,0,1,0,-26.25,-54.50
2026-07-13,GLOBEX,3,SHORT,P50,29755.00,29799.75,29700.59,1,0,0,54.41,106.83
2026-07-13,RTH,3,SHORT,P50,29755.00,29799.75,29700.59,1,0,0,54.41,106.83
2026-07-13,GLOBEX,5,SHORT,P50,29755.00,29799.75,29700.59,1,0,0,54.41,106.83
2026-07-13,RTH,5,SHORT,P50,29755.00,29799.75,29700.59,1,0,0,54.41,106.83
2026-07-14,GLOBEX,3,LONG,P50,29602.50,29534.75,29657.19,1,0,0,54.69,107.37
2026-07-14,RTH,3,LONG,P50,29602.50,29534.75,29657.19,1,0,0,54.69,107.37
2026-07-14,GLOBEX,5,LONG,P50,29602.50,29534.75,29657.19,1,0,0,54.69,107.37
2026-07-14,RTH,5,LONG,P50,29602.50,29534.75,29657.19,1,0,0,54.69,107.37
2026-07-14,GLOBEX,3,LONG,P50,29790.75,29754.00,29845.44,0,1,0,-36.75,-75.50
2026-07-14,RTH,3,LONG,P50,29790.75,29754.00,29845.44,0,1,0,-36.75,-75.50
2026-07-14,RTH,5,LONG,P50,29790.75,29754.00,29845.44,0,1,0,-36.75,-75.50
2026-07-14,GLOBEX,5,LONG,P50,29782.25,29754.00,29836.94,0,1,0,-28.25,-58.50
2026-07-15,GLOBEX,3,SHORT,P50,29885.75,29940.00,29832.51,0,1,0,-54.25,-110.50
2026-07-15,GLOBEX,5,SHORT,P50,29885.75,29940.00,29832.51,0,1,0,-54.25,-110.50
2026-07-15,GLOBEX,3,SHORT,P50,29639.25,29736.75,29586.01,1,0,0,53.24,104.48
2026-07-15,GLOBEX,5,SHORT,P50,29639.25,29736.75,29586.01,1,0,0,53.24,104.48
2026-07-15,RTH,3,SHORT,P50,29582.00,29661.75,29528.76,1,0,0,53.24,104.48
2026-07-15,GLOBEX,3,SHORT,P50,29715.25,29749.00,29662.01,0,1,0,-33.75,-69.50
2026-07-15,GLOBEX,5,SHORT,P50,29715.25,29749.00,29662.01,0,1,0,-33.75,-69.50
2026-07-29,GLOBEX,3,LONG,P50,27928.75,27888.25,27977.61,0,1,0,-40.50,-83.00
2026-08-03,GLOBEX,3,LONG,P50,28434.75,28383.50,28486.82,1,0,0,52.07,102.13
2026-08-03,RTH,3,LONG,P50,28780.50,28731.50,28832.57,0,1,0,-49.00,-100.00
2026-08-03,RTH,5,LONG,P50,28780.50,28731.50,28832.57,0,1,0,-49.00,-100.00
2025-10-07,RTH,3,SHORT,P75,25325.00,25368.00,25259.05,1,0,0,65.95,129.90
2025-10-07,RTH,5,SHORT,P75,25325.00,25368.00,25259.05,1,0,0,65.95,129.90
2025-10-15,RTH,3,LONG,P75,25211.00,25179.50,25295.32,0,1,0,-31.50,-65.00
2025-10-15,RTH,5,LONG,P75,25211.00,25179.50,25295.32,0,1,0,-31.50,-65.00
2025-10-21,RTH,3,SHORT,P75,25535.00,25539.50,25435.88,0,1,0,-4.50,-11.00
2025-10-21,RTH,5,SHORT,P75,25535.00,25539.50,25435.88,0,1,0,-4.50,-11.00
2025-10-28,GLOBEX,3,LONG,P75,26275.00,26249.00,26377.82,1,0,0,102.82,203.65
2025-10-28,GLOBEX,5,LONG,P75,26275.00,26249.00,26377.82,1,0,0,102.82,203.65
2025-10-31,GLOBEX,3,SHORT,P75,26359.75,26386.00,26254.11,0,1,0,-26.25,-54.50
2025-10-31,GLOBEX,5,SHORT,P75,26359.75,26386.00,26254.11,0,1,0,-26.25,-54.50
2025-11-05,RTH,3,LONG,P75,26081.75,26056.00,26191.75,0,1,0,-25.75,-53.50
2025-11-05,RTH,5,LONG,P75,26081.75,26056.00,26191.75,0,1,0,-25.75,-53.50
2025-11-12,GLOBEX,3,LONG,P75,26041.00,26029.25,26145.06,0,1,0,-11.75,-25.50
2025-11-12,GLOBEX,5,LONG,P75,26041.00,26029.25,26145.06,0,1,0,-11.75,-25.50
2025-11-13,RTH,3,SHORT,P75,25694.25,25762.75,25593.21,1,0,0,101.04,200.09
2025-11-13,RTH,5,SHORT,P75,25694.25,25762.75,25593.21,1,0,0,101.04,200.09
2025-11-19,GLOBEX,3,LONG,P75,24949.75,24897.00,25065.01,1,0,0,115.26,228.52
2025-11-19,GLOBEX,5,LONG,P75,24949.75,24897.00,25065.01,1,0,0,115.26,228.52
2025-11-19,RTH,3,LONG,P75,25108.75,25068.25,25224.01,0,0,1,78.25,154.50
2025-11-19,RTH,5,LONG,P75,25108.75,25068.25,25224.01,0,0,1,78.25,154.50
2025-11-19,GLOBEX,3,LONG,P75,25096.50,25085.25,25211.76,0,0,1,90.50,179.00
2025-11-20,GLOBEX,3,SHORT,P75,25059.50,25094.75,24944.24,0,1,0,-35.25,-72.50
2025-11-25,GLOBEX,3,LONG,P75,25032.50,24984.25,25172.68,0,1,0,-48.25,-98.50
2025-11-25,GLOBEX,5,LONG,P75,25032.50,24984.25,25172.68,0,1,0,-48.25,-98.50
2025-12-01,GLOBEX,3,SHORT,P75,25270.75,25285.00,25130.17,0,1,0,-14.25,-30.50
2025-12-01,GLOBEX,5,SHORT,P75,25270.75,25285.00,25130.17,0,1,0,-14.25,-30.50
2025-12-02,GLOBEX,3,LONG,P75,25426.75,25400.75,25567.02,1,0,0,140.27,278.54
2025-12-03,RTH,3,SHORT,P75,25475.50,25538.00,25335.19,0,1,0,-62.50,-127.00
2025-12-03,RTH,5,SHORT,P75,25475.50,25538.00,25335.19,0,1,0,-62.50,-127.00
