mode,pop_n,pct_backfill,category,slice_name,horizon,n,missing_horizon,baseline_mean,baseline_median,slice_mean,slice_median,slice_stddev,delta_mean,status
ALL,5094,87.3,setup_type,TRT_LONG,240,13,0,71.57,33.00,62.77,50.00,137.21,-8.80,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_MAH_SHORT,15,1,0,255.89,220.50,493.50,493.50,undefined,237.61,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_MAH_SHORT,30,1,0,251.41,214.75,408.00,408.00,undefined,156.59,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_MAH_SHORT,60,1,0,239.65,203.25,817.50,817.50,undefined,577.85,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_MAH_SHORT,120,1,0,200.20,175.25,1384.75,1384.75,undefined,1184.55,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_MAH_SHORT,240,1,0,71.57,33.00,621.50,621.50,undefined,549.93,INSUFFICIENT
ALL,5094,87.3,setup_type,C_STANDALONE_UP,15,73,0,255.89,220.50,47.96,38.25,81.67,-207.94,OK
ALL,5094,87.3,setup_type,C_STANDALONE_UP,30,73,0,251.41,214.75,49.81,65.00,104.10,-201.60,OK
ALL,5094,87.3,setup_type,C_STANDALONE_UP,60,73,0,239.65,203.25,61.01,76.00,110.76,-178.64,OK
ALL,5094,87.3,setup_type,C_STANDALONE_UP,120,73,0,200.20,175.25,69.89,80.00,134.37,-130.30,OK
ALL,5094,87.3,setup_type,C_STANDALONE_UP,240,73,0,71.57,33.00,70.59,90.00,144.99,-0.98,OK
ALL,5094,87.3,setup_type,OR5_LOW_FADE_LONG,15,14,0,255.89,220.50,84.39,65.50,76.58,-171.50,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_LOW_FADE_LONG,30,14,0,251.41,214.75,71.88,39.25,109.49,-179.54,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_LOW_FADE_LONG,60,14,0,239.65,203.25,26.93,54.63,142.89,-212.73,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_LOW_FADE_LONG,120,14,0,200.20,175.25,-9.29,-29.00,176.30,-209.48,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_LOW_FADE_LONG,240,14,0,71.57,33.00,26.57,42.50,246.11,-44.99,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_MID_SCALP_FADE_SHORT,15,6,0,255.89,220.50,67.75,56.25,78.68,-188.14,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_MID_SCALP_FADE_SHORT,30,6,0,251.41,214.75,26.88,41.25,84.01,-224.54,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_MID_SCALP_FADE_SHORT,60,6,0,239.65,203.25,2.25,32.13,83.69,-237.40,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_MID_SCALP_FADE_SHORT,120,6,0,200.20,175.25,34.63,24.13,35.50,-165.57,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_MID_SCALP_FADE_SHORT,240,6,0,71.57,33.00,96.67,90.38,102.67,25.10,INSUFFICIENT
ALL,5094,87.3,setup_type,STOP_SWEEP_LONG,15,22,0,255.89,220.50,9.18,32.50,100.62,-246.71,OK
ALL,5094,87.3,setup_type,STOP_SWEEP_LONG,30,22,0,251.41,214.75,-11.84,10.75,124.22,-263.25,OK
ALL,5094,87.3,setup_type,STOP_SWEEP_LONG,60,22,0,239.65,203.25,21.16,27.63,201.60,-218.50,OK
ALL,5094,87.3,setup_type,STOP_SWEEP_LONG,120,22,0,200.20,175.25,3.86,45.13,198.52,-196.33,OK
ALL,5094,87.3,setup_type,STOP_SWEEP_LONG,240,22,0,71.57,33.00,-2.06,9.38,208.63,-73.62,OK
ALL,5094,87.3,setup_type,BRACKET_BREAKOUT_LONG,15,11,0,255.89,220.50,74.77,59.50,61.02,-181.12,INSUFFICIENT
ALL,5094,87.3,setup_type,BRACKET_BREAKOUT_LONG,30,11,0,251.41,214.75,69.91,58.50,63.86,-181.50,INSUFFICIENT
ALL,5094,87.3,setup_type,BRACKET_BREAKOUT_LONG,60,11,0,239.65,203.25,64.77,64.75,112.98,-174.88,INSUFFICIENT
ALL,5094,87.3,setup_type,BRACKET_BREAKOUT_LONG,120,11,0,200.20,175.25,75.48,82.75,121.27,-124.72,INSUFFICIENT
ALL,5094,87.3,setup_type,BRACKET_BREAKOUT_LONG,240,11,0,71.57,33.00,99.89,97.50,148.22,28.32,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S4_FADE_SHORT,15,1,0,255.89,220.50,11.25,11.25,undefined,-244.64,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S4_FADE_SHORT,30,1,0,251.41,214.75,80.25,80.25,undefined,-171.16,INSUFFICIENT
