date,session,swing_width,type,confirmation_window_hours,confluence_count,dormancy_hours,touch_vol_z,break_vol_z,z_conf,z_dorm,z_touch,z_break,composite_score,quintile,entry,stop,target_p50,target_p75,p50_hit,p75_hit,stop_hit_p50,stop_hit_p75,time_exit_p50,pnl_p50,pnl_p75,pnl_usd_p50,pnl_usd_p75
2025-10-21,GLOBEX,5,HIGH,1,2,304.63,-0.7333,-0.9338,-1.0013,-0.2636,-1.0670,-1.4226,-3.7545,1,25547.50,25540.50,25561.48,25599.63,0,0,1,1,0,-7.00,-7.00,-16.00,-16.00
2026-07-03,GLOBEX,3,HIGH,1,3,0.67,-0.2909,0.5785,-1.2672,-0.4841,-0.9935,-1.0096,-3.7544,1,29910.50,29891.50,29941.23,30025.14,0,0,1,1,0,-19.00,-19.00,-40.00,-40.00
2026-04-21,GLOBEX,3,HIGH,1,5,2.33,0.4853,1.1194,-1.5331,-0.4829,-0.8646,-0.8618,-3.7424,1,26832.00,26820.75,26848.90,26895.04,0,0,1,1,0,-11.25,-11.25,-24.50,-24.50
2025-11-28,GLOBEX,5,HIGH,1,3,2.25,0.6439,0.0501,-1.2672,-0.4829,-0.8383,-1.1539,-3.7423,1,25396.50,25347.75,25416.63,25471.60,1,0,0,1,0,20.13,-48.75,38.26,-99.50
2025-10-21,GLOBEX,3,HIGH,1,2,304.05,-0.7333,-0.8645,-1.0013,-0.2640,-1.0670,-1.4037,-3.7360,1,25547.50,25540.50,25561.48,25599.63,0,0,1,1,0,-7.00,-7.00,-16.00,-16.00
2026-07-06,GLOBEX,3,LOW,1,11,2.17,1.7784,1.3332,-1.7990,-0.4830,-0.6499,-0.8035,-3.7353,1,29907.75,29925.00,29879.51,29802.39,0,0,1,1,0,-17.25,-17.25,-36.50,-36.50
2026-07-15,GLOBEX,5,HIGH,1,3,10.33,0.2716,0.4593,-1.2672,-0.4771,-0.9001,-1.0421,-3.6865,1,29974.75,29941.75,29997.21,30058.53,1,0,0,1,0,22.46,-33.00,42.92,-68.00
2025-11-18,GLOBEX,3,LOW,1,2,257.78,-0.7034,-0.5758,-1.0013,-0.2976,-1.0620,-1.3248,-3.6858,1,24994.50,25082.25,24978.98,24936.60,1,1,0,0,0,15.52,57.90,29.04,113.79
2025-11-19,RTH,5,HIGH,1,4,783.78,-0.5924,-0.4666,-1.4267,0.0839,-1.0436,-1.2950,-3.6814,1,25094.25,25068.25,25110.50,25154.87,1,1,0,0,0,16.25,60.62,30.50,119.24
2025-12-26,GLOBEX,3,LOW,1,5,10.83,0.7612,1.2229,-1.5331,-0.4767,-0.8188,-0.8336,-3.6622,1,25881.00,25891.75,25868.59,25834.72,1,1,0,0,0,12.41,46.28,22.81,90.56
2025-10-20,GLOBEX,5,HIGH,1,2,402.25,-0.7144,-0.8626,-1.0013,-0.1928,-1.0639,-1.4031,-3.6611,1,25432.25,25390.00,25446.13,25484.03,1,1,0,0,0,13.88,51.78,25.76,101.56
