group,targetLevel,targetAtr,entryDate,month,type,ev,win,exitReason,pnlPts
3_GLOBEX,p75,0.42837560230017063,2026-02-11,2026-02,LOW,-60.524499999999534,0,STOP,-29.262249999999767
3_GLOBEX,p75,0.42837560230017063,2026-02-11,2026-02,HIGH,-162.52449999999953,0,STOP,-80.26224999999977
3_GLOBEX,p75,0.42837560230017063,2026-02-11,2026-02,LOW,-56.024499999999534,0,STOP,-27.012249999999767
3_GLOBEX,p75,0.42837560230017063,2026-02-13,2026-02,HIGH,-87.38900000000285,0,STOP,-42.694500000001426
3_GLOBEX,p75,0.42837560230017063,2026-02-13,2026-02,HIGH,-217.38900000000285,0,STOP,-107.69450000000143
3_GLOBEX,p75,0.42837560230017063,2026-02-13,2026-02,HIGH,338.32299724737095,1,TARGET,170.16149862368547
3_GLOBEX,p75,0.42837560230017063,2026-02-13,2026-02,HIGH,338.32299724737095,1,TARGET,170.16149862368547
3_GLOBEX,p75,0.42837560230017063,2026-02-17,2026-02,HIGH,-187.01550000000134,0,STOP,-92.50775000000067
3_GLOBEX,p75,0.42837560230017063,2026-02-17,2026-02,HIGH,-137.01550000000134,0,STOP,-67.50775000000067
3_GLOBEX,p75,0.42837560230017063,2026-02-18,2026-02,LOW,-57.233000000000175,0,STOP,-27.616500000000087
3_GLOBEX,p75,0.42837560230017063,2026-02-18,2026-02,LOW,-79.23300000000017,0,STOP,-38.61650000000009
3_GLOBEX,p75,0.42837560230017063,2026-02-20,2026-02,LOW,-98.96450000000186,0,STOP,-48.48225000000093
3_GLOBEX,p75,0.42837560230017063,2026-02-20,2026-02,HIGH,-132.46450000000186,0,STOP,-65.23225000000093
3_GLOBEX,p75,0.42837560230017063,2026-02-23,2026-02,HIGH,-534.9645000000019,0,STOP,-266.48225000000093
3_GLOBEX,p75,0.42837560230017063,2026-02-25,2026-02,LOW,-77.59949999999662,0,STOP,-37.79974999999831
3_GLOBEX,p75,0.42837560230017063,2026-02-25,2026-02,LOW,361.5623736721536,1,TARGET,181.7811868360768
3_GLOBEX,p75,0.42837560230017063,2026-02-25,2026-02,HIGH,361.5623736721536,1,TARGET,181.7811868360768
3_GLOBEX,p75,0.42837560230017063,2026-02-27,2026-02,HIGH,361.5623736721536,1,TARGET,181.7811868360768
3_GLOBEX,p75,0.42837560230017063,2026-02-27,2026-02,HIGH,-253.7355000000025,0,STOP,-125.86775000000125
3_GLOBEX,p75,0.42837560230017063,2026-03-03,2026-03,HIGH,355.1581584177693,1,TARGET,178.57907920888465
3_GLOBEX,p75,0.42837560230017063,2026-03-03,2026-03,HIGH,-101.17500000000291,0,STOP,-49.587500000001455
3_GLOBEX,p75,0.42837560230017063,2026-03-03,2026-03,LOW,-153.1750000000029,0,STOP,-75.58750000000146
3_GLOBEX,p75,0.42837560230017063,2026-03-03,2026-03,HIGH,-269.6750000000029,0,STOP,-133.83750000000146
