date,session,swing_width,type,confluence_count,dormancy_hours,touch_vol_z,break_vol_z,z_conf,z_dorm,z_touch,z_break,composite_score,quintile,entry,stop,target_p50,target_p75,p50_hit,p75_hit,stop_hit_p50,stop_hit_p75,time_exit_p50,pnl_p50,pnl_p75,pnl_usd_p50,pnl_usd_p75
2026-09-07,RTH,3,HIGH,1,6.10,-2.0125,-2.3549,-0.4851,-0.2225,-1.5025,-2.6580,-4.8681,1,29634.75,29631.50,29747.74,29838.35,0,0,1,1,0,-3.25,-3.25,-8.50,-8.50
2026-07-03,RTH,3,LOW,4,0.17,-1.7745,-1.6156,-1.4434,-0.2305,-1.3590,-1.8345,-4.8673,1,29899.25,29900.25,29629.39,29412.99,0,0,1,1,0,-1.00,-1.00,-4.00,-4.00
2026-07-05,RTH,3,LOW,2,0.15,-1.8403,-1.9603,-1.0175,-0.2305,-1.3987,-2.2185,-4.8651,1,29886.00,29888.50,29637.99,29439.11,0,0,1,1,0,-2.50,-2.50,-7.00,-7.00
2026-09-07,RTH,3,LOW,1,0.47,-2.4081,-2.1293,-0.4851,-0.2301,-1.7410,-2.4067,-4.8629,1,29606.50,29608.00,29493.51,29402.90,0,0,1,1,0,-1.50,-1.50,-5.00,-5.00
2026-07-03,RTH,3,HIGH,7,0.23,-1.2919,-1.6442,-1.6829,-0.2304,-1.0681,-1.8663,-4.8477,1,29916.75,29912.00,30186.61,30403.01,0,0,1,1,0,-4.75,-4.75,-11.50,-11.50
2026-07-03,GLOBEX,3,LOW,3,0.35,-1.0475,-2.1245,-1.2837,-0.2302,-0.9207,-2.4014,-4.8360,1,29901.00,29902.25,29631.14,29414.74,0,0,1,1,0,-1.25,-1.25,-4.50,-4.50
2026-06-19,RTH,5,HIGH,3,0.75,-2.1986,-1.4944,-1.2837,-0.2297,-1.6147,-1.6995,-4.8275,1,30675.75,30672.75,30891.56,31064.63,0,0,1,1,0,-3.00,-3.00,-8.00,-8.00
2026-07-05,RTH,5,HIGH,7,0.35,-1.2958,-1.6163,-1.6829,-0.2302,-1.0705,-1.8353,-4.8189,1,29932.75,29928.00,30180.76,30379.64,0,0,1,1,0,-4.75,-4.75,-11.50,-11.50
2026-09-07,RTH,3,LOW,2,4.22,-1.6475,-2.0274,-1.0175,-0.2250,-1.2825,-2.2932,-4.8182,1,29585.25,29589.25,29472.26,29381.65,0,0,1,1,0,-4.00,-4.00,-10.00,-10.00
2026-07-03,RTH,3,HIGH,4,1.10,-1.6741,-1.6223,-1.4434,-0.2292,-1.2985,-1.8420,-4.8131,1,29906.75,29904.75,30176.61,30393.01,0,0,1,1,0,-2.00,-2.00,-6.00,-6.00
2026-05-25,RTH,3,HIGH,1,0.12,-2.2685,-2.1581,-0.4851,-0.2305,-1.6569,-2.4388,-4.8113,1,29985.50,29983.00,30135.77,30256.27,0,0,1,1,0,-2.50,-2.50,-7.00,-7.00
2026-09-07,RTH,3,LOW,2,0.38,-1.8764,-1.8840,-1.0175,-0.2302,-1.4205,-2.1335,-4.8016,1,29580.50,29580.75,29467.51,29376.90,0,0,1,1,0,-0.25,-0.25,-2.50,-2.50
